number,sourceId,title,domain,corpus,createdAt,chunkCount,primaryCategory,categoryTags,productTags,topicTags,complianceSensitivity,sourceRef
"1","knowledge_source_52dedddf-f049-4d19-b64d-df6c450858d3","THREE One Page Business Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","7","compensation-plan","business-building|compensation-plan|forms-admin|product-science|products","collagene|eternel|imune|kynetik|purifi|revive|visage|vitalite","business-building|business-overview|cellular-absorption|compensation|energy|product-education|training","high","file:D:/THREE/compensation/1-page-business-sheet_v3_FNL.pdf"
"2","knowledge_source_ed6d0385-3969-4154-93de-0ef005c5366c","THREE Financial Rewards Plan NAM English","training","three-corpus","2026-07-07T08:45:33.478Z","13","compensation-plan","compensation-plan|compliance-policies|forms-admin|products","","compensation|compliance|product-education|rewards-plan|team-only","high","file:D:/THREE/compensation/2507_V11_FinancialRewardsPlan_NAM_ENG_01.pdf"
"3","knowledge_source_2a642533-e81d-4078-95ed-9323c57526f6","THREE Do and Do Not: Product Story","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|products","purifi","compliance|detox|product-claims|product-education|story","high","file:D:/THREE/policies/Do_and_dont_PRODUCT_story_FNL.pdf"
"4","knowledge_source_cd94c0d3-a602-44a0-aef0-71c8eb36f386","THREE Do and Do Not: Income Story","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies","","compliance|income-claims|story","high","file:D:/THREE/policies/Do_and_dont_income_story_FNL.pdf"
"5","knowledge_source_a35684f7-6478-4206-b199-cfb3511e749c","THREE Do and Do Not: COLLAGENE Product Page","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|products","collagene|imune","collagene|compliance|gut-immune|product-claims|product-education|skincare","high","file:D:/THREE/policies/Do_and_dont_product_page_COLLAGENE_FNL.pdf"
"6","knowledge_source_6b8970d0-5ce3-4366-869e-6977829b4c24","THREE Do and Do Not: ETERNEL Product Page","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|product-science|products","eternel|glutathione|imune","cellular-absorption|compliance|energy|eternel|gut-immune|product-claims|product-education","high","file:D:/THREE/policies/Do_and_dont_product_page_ETERNEL_FNL.pdf"
"7","knowledge_source_1cffd7d1-7439-4d23-b2b5-dc8df8a856dc","THREE Do and Do Not: IMUNE Product Page","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|products","imune","compliance|gut-immune|imune|product-claims|product-education","high","file:D:/THREE/policies/Do_and_dont_product_page_IMUNE_FNL.pdf"
"8","knowledge_source_3ad3b342-3dbc-4233-bddb-88987172c038","THREE Do and Do Not: PURIFI Product Page","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|product-science|products","imune|purifi","compliance|detox|gut-immune|product-claims|product-education|purifi|skincare","high","file:D:/THREE/policies/Do_and_dont_product_page_PURIFI_FNL.pdf"
"9","knowledge_source_d60fb953-a3f2-49ba-b2e9-77d68e1006d0","THREE Do and Do Not: REVIVE Product Page","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|products","imune|revive","compliance|gut-immune|product-claims|product-education|revive","high","file:D:/THREE/policies/Do_and_dont_product_page_REVIVE_FNL.pdf"
"10","knowledge_source_a529738b-23ef-4a2c-a6cd-5477c133f186","THREE Do and Do Not: VITALITE Product Page","governance","three-corpus","2026-07-07T08:45:33.478Z","3","compliance-policies","compliance-policies|forms-admin|product-science|products","imune|vitalite","compliance|energy|gut-immune|product-claims|product-education|vitalite","high","file:D:/THREE/policies/Do_and_dont_product_page_VITALITE_FNL.pdf"
"11","knowledge_source_02e56776-d977-41c9-a47d-79e4d926effd","THREE Policies and Procedures V5","governance","three-corpus","2026-07-07T08:45:33.478Z","176","compliance-policies","business-building|compensation-plan|compliance-policies|forms-admin|product-science|products|vision-strategy","revive|visage","brand-ambassador|business-building|compensation|compliance|policies|product-education|skincare","high","file:D:/THREE/policies/PoliciesAndProcedures_V5.pdf"
"12","knowledge_source_09c855b9-d942-489e-be65-39c922e2216a","THREE Compliance Analysis for Team Magnificent","governance","three-corpus","2026-07-07T08:45:33.478Z","35","compliance-policies","business-building|compliance-policies|forms-admin|product-science|products|team-training","glp-three","business-building|compliance|policies|product-education|skincare|team-magnificent","high","file:D:/THREE/policies/compliance.md"
"13","knowledge_source_a823d619-1b7c-4125-a163-fb50efa1d1a3","THREE IMUNE Product Fact Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","products","product-science|products","imune","cellular-absorption|gut-immune|imune|official-fact-sheet|product|product-education","standard","file:D:/THREE/products/2306V2_FactSheet-Imune_ENG_08.pdf"
"14","knowledge_source_e22b1ecd-f8c7-489e-a171-4e094c21505c","THREE GLP-THREE FAQ Sheet English","training","three-corpus","2026-07-07T08:45:33.478Z","4","products","forms-admin|product-science|products","glp-three|mbc-267|omega-3","cellular-absorption|glp-three|metabolism|official-faq|product-education|product-faq","standard","file:D:/THREE/products/2601_FAQSheet-GLP-THREE_v1_ENG_FNL.pdf"
"15","knowledge_source_516e3b94-e4e1-434a-b9c1-23d84b473224","THREE GLP-THREE Fact Sheet English","training","three-corpus","2026-07-07T08:45:33.478Z","6","products","forms-admin|product-science|products","glp-three|mbc-267|purifi","cellular-absorption|glp-three|metabolism|official-fact-sheet|product|product-education","standard","file:D:/THREE/products/2601_FactSheet-GLPTHREE_v1_ENG_FNL.pdf"
"16","knowledge_source_ca9d89bb-2457-4cfb-9bcd-8bad3739f28d","THREE REVIVE Product Fact Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","products","forms-admin|product-science|products","imune|revive","cellular-absorption|gut-immune|official-fact-sheet|product|product-education|revive","standard","file:D:/THREE/products/Revive.pdf"
"17","knowledge_source_41a4b277-1d83-4f58-bf7e-3941ed25014b","THREE COLLAGENE Product Fact Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","products","forms-admin|product-science|products","collagene|imune","cellular-absorption|collagene|gut-immune|official-fact-sheet|product|product-education|skincare","standard","file:D:/THREE/products/collagene.pdf"
"18","knowledge_source_693ebeda-510c-4d06-adea-68dbfce4112d","THREE ETERNEL Product Fact Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","products","product-science|products","collagene|coq10|eternel|glutathione","cellular-absorption|energy|eternel|official-fact-sheet|product|product-education|skincare","standard","file:D:/THREE/products/eternel.pdf"
"19","knowledge_source_7867bd6d-4189-4e0a-857e-05992934a20f","THREE PURIFI Product Fact Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","products","forms-admin|product-science|products","purifi","cellular-absorption|detox|energy|gut-immune|official-fact-sheet|product|product-education|purifi|skincare","standard","file:D:/THREE/products/purifi.pdf"
"20","knowledge_source_63b629c0-4f7b-46cf-a025-cdc701ac6f63","THREE VITALITE Product Fact Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","products","forms-admin|product-science|products","omega-3|vitalite","cellular-absorption|energy|gut-immune|official-fact-sheet|product|product-education|vitalite","standard","file:D:/THREE/products/vitalite.pdf"
"21","knowledge_source_522facbb-5d3a-4459-877b-7f3da8142937","THREE 2 by 2 Flyer English","training","three-corpus","2026-07-07T08:45:33.478Z","2","compensation-plan","compensation-plan|forms-admin","","2by2|compensation|promotion|training","high","file:D:/THREE/promotions/2by2_Flyer_ENG.pdf"
"22","knowledge_source_4043f788-91f1-4bbb-9c21-33cb56bf2cfc","THREE Action Plan Sheet","training","three-corpus","2026-07-07T08:45:33.478Z","3","general-training","business-building|forms-admin|general-training|products","","action-plan|business-building|product-education|training","standard","file:D:/THREE/training-materials/THREE-ACTION-PLAN-Sheet.pdf"
"23","knowledge_source_7a089f06-d5d3-45cf-a019-e9254bc964ed","Team Magnificent 10 Steps for Success","training","three-corpus","2026-07-07T08:45:33.478Z","1","team-training","business-building|products|team-training","","business-building|orientation|product-education|success-steps|training","standard","file:D:/THREE/trainings/10_Steps_for_Success.html"
"24","knowledge_source_87172cfb-0b42-4941-af53-1eeb1c077055","THREE Brand Ambassador Business Card Template","organizational","three-corpus","2026-07-07T08:51:39.074Z","1","forms-admin","forms-admin","","brand-ambassador|business-card|official-template","standard","file:D:/THREE/business-card-template/THREE-Brand-Ambassador-Business-Cards.pdf"
"25","knowledge_source_959da85a-db79-442f-94c1-64dae7b71fb9","THREE 2026 Calendar","organizational","three-corpus","2026-07-07T08:51:39.074Z","1","forms-admin","forms-admin","","calendar|events|official-reference","standard","file:D:/THREE/calendar/2026-calendar.pdf"
